paper_id,title,authors,venue,year,url,abstract,filter_score,filter_relevant,filter_keywords,has_coding_task,extraction_confidence,extraction_reason,task_summary,participant_skill_level,programming_language,programming_domain,programming_sub_domain,task_type,code_size_scope,evaluation_metrics,tools_environment,research_focus,is_programming_related,is_ai_related,quality_confidence,quality_completeness,quality_consistency,quality_overall,processing_time,error_message
8EJUFCGE,CoilCAM: Enabling Parametric Design for Clay 3D Printing Through an Action-Oriented Toolpath Programming System,"Bourgault, Samuelle; Wiley, Pilar; Farber, Avi; Jacobs, Jennifer",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580745,"Clay 3D printing provides the benefits of digital fabrication automation and reconfigurability through a method that evokes manual clay coiling. Existing design technologies for clay 3D printing reflect the general 3D printing workflow in which solid forms are designed in CAD and then converted into a toolpath. In contrast, in hand-coiling, form is determined by the actions taken by the artist’s hands through space in response to the material. We theorized that an action-oriented approach for clay 3D printing could allow creators to design digital fabrication toolpaths that reflect clay material properties. We present CoilCAM, a domain-specific CAM programming system that supports the integrated generation of parametric forms and surface textures through mathematically defined toolpath operations. We developed CoilCAM in collaboration with ceramics professionals and evaluated CoilCAM’s relevance to manual ceramics by reinterpreting hand-made ceramic vessels. This process revealed the importance of iterative variation and embodied experience in action-oriented workflows.",0.4666666666666666,True,"programming, embodied, design, tool, system, method, approach",False,0.85,The paper discusses a programming system for toolpath generation but does not describe a user study where participants performed coding or programming tasks.,,,,,,,,,,,,,,,,,2.1258790493011475,
M3HZ6PN9,On the Design of AI-powered Code Assistants for Notebooks,"Mcnutt, Andrew M; Wang, Chenglong; Deline, Robert A; Drucker, Steven M.",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580940,"AI-powered code assistants, such as Copilot, are quickly becoming a ubiquitous component of contemporary coding contexts. Among these environments, computational notebooks, such as Jupyter, are of particular interest as they provide rich interface affordances that interleave code and output in a manner that allows for both exploratory and presentational work. Despite their popularity, little is known about the appropriate design of code assistants in notebooks. We investigate the potential of code assistants in computational notebooks by creating a design space (reified from a survey of extant tools) and through an interview-design study (with 15 practicing data scientists). Through this work, we identify challenges and opportunities for future systems in this space, such as the value of disambiguation for tasks like data visualization, the potential of tightly scoped domain-specific tools (like linters), and the importance of polite assistants.",0.7999999999999999,True,"code, coding, copilot, survey, interview, design, interface, tool, system",True,0.7,Investigate the design of AI-powered code assistants in computational notebooks through interviews with data scientists,Investigate the design of AI-powered code assistants in computational notebooks through interviews with data scientists.,Mixed,,Education/Learning,Computational Notebooks,Content Creation,,Identification of challenges and opportunities for future systems based on participant feedback.,,Design of AI-powered code assistants,False,True,0.7,0.7,1.0,0.76,5.151165008544922,
LEDP65GQ,Code Code Evolution: Understanding How People Change Data Science Notebooks Over Time,"Raghunandan, Deepthi; Roy, Aayushi; Shi, Shenzhi; Elmqvist, Niklas; Battle, Leilani",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580997,"Sensemaking is the iterative process of identifying, extracting, and explaining insights from data, where each iteration is referred to as the “sensemaking loop.” However, little is known about how sensemaking behavior evolves from exploration and explanation during this process. This gap limits our ability to understand the full scope of sensemaking, which in turn inhibits the design of tools that support the process. We contribute the first mixed-method to characterize how sensemaking evolves within computational notebooks. We study 2,574 Jupyter notebooks mined from GitHub by identifying data science notebooks that have undergone significant iterations, presenting a regression model that automatically characterizes sensemaking activity, and using this regression model to calculate and analyze shifts in activity across GitHub versions. Our results show that notebook authors participate in various sensemaking tasks over time, such as annotation, branching analysis, and documentation. We use our insights to recommend extensions to current notebook environments.",0.6,True,"code, design, tool, model, method",False,0.85,The study analyzes changes in data science notebooks but does not involve participants performing coding or programming tasks directly.,,,,,,,,,,,,,,,,,1.6342780590057373,
HGVVJYYK,VizProg: Identifying Misunderstandings By Visualizing Students? Coding Progress,"Zhang, Ashley Ge; Chen, Yan; Oney, Steve",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581516,"Programming instructors often conduct in-class exercises to help them identify students that are falling behind and surface students’ misconceptions. However, as we found in interviews with programming instructors, monitoring students’ progress during exercises is difficult, particularly for large classes. We present VizProg, a system that allows instructors to monitor and inspect students’ coding progress in real-time during in-class exercises. VizProg represents students’ statuses as a 2D Euclidean spatial map that encodes the students’ problem-solving approaches and progress in real-time. VizProg allows instructors to navigate the temporal and structural evolution of students’ code, understand relationships between code, and determine when to provide feedback. A comparison experiment showed that VizProg helped to identify more students’ problems than a baseline system. VizProg also provides richer and more comprehensive information for identifying important student behavior. By managing students’ activities at scale, this work presents a new paradigm for improving the quality of live learning.",1.0,True,"programming, code, coding, experiment, interview, system, approach, learning",True,0.7,Monitor and inspect students' coding progress in real-time during in-class exercises using the VizProg system,Monitor and inspect students' coding progress in real-time during in-class exercises using the VizProg system.,,,Education/Learning,,Tool Usage,,Comparison of problem identification effectiveness between VizProg and a baseline system.,VizProg system,Effectiveness of monitoring tools in educational settings.,True,False,0.7,0.6,1.0,0.73,10.546236038208008,
P5E94HDK,Transcending the ?Male Code?: Implicit Masculine Biases in NLP Contexts,"Seaborn, Katie; Chandra, Shruti; Fabre, Thibault",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581017,"Critical scholarship has elevated the problem of gender bias in data sets used to train virtual assistants (VAs). Most work has focused on explicit biases in language, especially against women, girls, femme-identifying people, and genderqueer folk; implicit associations through word embeddings; and limited models of gender and masculinities, especially toxic masculinities, conflation of sex and gender, and a sex/gender binary framing of the masculine as diametric to the feminine. Yet, we must also interrogate how masculinities are “coded” into language and the assumption of “male” as the linguistic default: implicit masculine biases. To this end, we examined two natural language processing (NLP) data sets. We found that when gendered language was present, so were gender biases and especially masculine biases. Moreover, these biases related in nuanced ways to the NLP context. We offer a new dictionary called AVA that covers ambiguous associations between gendered language and the language of VAs.",0.6,True,"code, model",False,0.95,The paper focuses on gender bias in NLP data sets and does not involve participants performing coding or programming tasks.,,,,,,,,,,,,,,,,,1.673076868057251,
CIXUKPUW,EpoMemory: Multi-state Shape Memory for Programmable Morphing Interfaces,"Zhong, Ke; Fernandes Minori, Adriane; Wu, Di; Yang, Humphrey; Islam, Mohammad F.; Yao, Lining",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580638,"Smart shape-changing materials can be adapted to different usages, which have been leveraged for dynamic affordances and on-demand haptic feedback in HCI. However, the applicability of these materials is often bottlenecked by their complex fabrication and the challenge of programming localized and individually addressable responses. In this work, we propose a toolkit for designing and fabricating programmable morphing objects using off-the-shelf epoxies. Our method involves varying the crosslinker to epoxy resin ratio to control morphing temperatures from 40 ℃ to 90 ℃, either across different regions of a shape memory device or across devices. Functional components (e.g., conductive fabric, magnetic particles) are also incorporated with the epoxy for sensing and active reconfiguration. A toolbox of fabrication methods and a primitive design library are introduced to support design ideation and programmable morphing. Finally, we demonstrate application examples, including morphing toys, a shape-changing input device, and an active window shutter.",0.7333333333333334,True,"programming, library, application, haptic, design, interface, tool, method",True,0.2,"Design and fabricate programmable morphing objects using off-the-shelf epoxies, incorporating functional components for sensing and active reconfiguration.","Design and fabricate programmable morphing objects using off-the-shelf epoxies, incorporating functional components for sensing and active reconfiguration.",,,Creative/Media,,Feature Development,,,,,False,False,0.2,0.3,1.0,0.39,5.979394197463989,
SKYI4PWT,Sustainability by Design. How to Encourage Users to Choose Energy-Saving Programs and Settings when Washing Laundry,"Grönewald, Laura; Weiblen, Julian; Laschke, Matthias; Christoforakos, Lara; Hassenzahl, Marc",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581150,"One way to counteract anthropogenic climate change, is to reduce individual energy consumption. An especially energy-intensive everyday practice is doing the laundry. In Germany, laundry accounts for about 5% of domestic electricity consumption. In part, this is because users do not make use of the energy-saving programs offered by modern washing machines. Based on different principles of behavior change, we created four concepts for washing machine interfaces to encourage users to choose energy-saving programs and settings. These concepts were implemented as functional prototypes. An online experiment (N=400) showed that all concepts increased the choice of energy-saving programs compared to a standard machine. Especially effective was to interrupt impulsive actions and suggest alternative choices (concept B) and to restructure the entry of settings (concept E). This demonstrates how small changes in a standard interfaces can significantly increase the probability of energy conservation in a private setting.",0.4666666666666666,True,"experiment, design, interface, user",False,0.95,"The study focuses on user interaction with washing machine interfaces and energy-saving programs, with no coding or programming tasks performed by participants.",,,,,,,,,,,,,,,,,1.5483601093292236,
962EI3DD,A Study of Editor Features in a Creative Coding Classroom,"Mcnutt, Andrew M; Outkine, Anton; Chugh, Ravi",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3580683,"Creative coding is a rapidly expanding domain for both artistic expression and computational education. Numerous libraries and IDEs support creative coding, however there has been little consideration of how the environments themselves might be designed to serve these twin goals. To investigate this gap, we implemented and used an experimental editor to teach a sequence of college and high-school creative coding courses. In the first year, we conducted a log analysis of student work (n=39) and surveys regarding prospective features (n=25). These guided our implementation of common enhancements (e.g. color pickers) as well as uncommon ones (e.g. bidirectional shape editing). In the second year, we studied the effects of these features through logging (n=39+) and survey (n=23) studies. Reflecting on the results, we identify opportunities to improve creativity- and novice-focused IDEs and highlight tensions in their design—as in tools that augment artistry or efficiency but may be perceived as hindering learning.",0.3999999999999999,True,"coding, implementation, experiment, survey, analysis of, design, tool, learning",True,0.7,Implement creative coding projects using an experimental editor with various features,Implement creative coding projects using an experimental editor with various features.,Beginner,,Creative/Media,,Content Creation,Full Application,Student work log analysis and survey responses regarding editor features,Experimental editor,Creative coding projects,True,False,0.7,0.8,1.0,0.79,6.3662168979644775,
35DQVF5M,PaTAT: Human-AI Collaborative Qualitative Coding with Explainable Interactive Rule Synthesis,"Gebreegziabher, Simret Araya; Zhang, Zheng; Tang, Xiaohang; Meng, Yihao; Glassman, Elena L.; Li, Toby Jia-Jun",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581352,"Over the years, the task of AI-assisted data annotation has seen remarkable advancements. However, a specific type of annotation task, the qualitative coding performed during thematic analysis, has characteristics that make effective human-AI collaboration difficult. Informed by a formative study, we designed PaTAT, a new AI-enabled tool that uses an interactive program synthesis approach to learn flexible and expressive patterns over user-annotated codes in real-time as users annotate data. To accommodate the ambiguous, uncertain, and iterative nature of thematic analysis, the use of user-interpretable patterns allows users to understand and validate what the system has learned, make direct fixes, and easily revise, split, or merge previously annotated codes. This new approach also helps human users to learn data characteristics and form new theories in addition to facilitating the “learning” of the AI model. PaTAT’s usefulness and effectiveness were evaluated in a lab user study.",0.5333333333333333,True,"code, coding, user study, thematic analysis, qualitative, design, user, tool, system, model, approach, learning",False,0.85,"The study focuses on AI-assisted data annotation and qualitative coding, not on programming or coding tasks performed by participants.",,,,,,,,,,,,,,,,,2.10402774810791,
AKFXNMSR,Coding Together: On Co-located and Remote Collaboration between Children with Mixed-Visual Abilities,"Rocha, Filipa; Correia, Filipa; Neto, Isabel; Pires, Ana Cristina; Guerreiro, João; Guerreiro, Tiago; Nicolau, Hugo",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581261,"Collaborative coding environments foster learning, social skills, computational thinking training, and supportive relationships. In the context of inclusive education, these environments have the potential to promote inclusive learning activities for children with mixed-visual abilities. However, there is limited research focusing on remote collaborative environments, despite the opportunity to design new modes of access and control of content to promote more equitable learning experiences. We investigated the tradeoffs between remote and co-located collaboration through a tangible coding kit. We asked ten pairs of mixed-visual ability children to collaborate in an interdependent and asymmetric coding game. We contribute insights on six dimensions - effectiveness, computational thinking, accessibility, communication, cooperation, and engagement - and reflect on differences, challenges, and advantages between collaborative settings related to communication, workspace awareness, and computational thinking training. Lastly, we discuss design opportunities of tangibles, audio, roles, and tasks to create inclusive learning activities in remote and co-located settings.",0.46666666666666673,True,"coding, tangible, accessibility, design, learning",True,0.8,Collaborate in an interdependent and asymmetric coding game using a tangible coding kit,Collaborate in an interdependent and asymmetric coding game using a tangible coding kit.,Mixed,,Game Development,,Collaboration,Full Application,"Effectiveness, computational thinking, accessibility, communication, cooperation, and engagement",Tangible coding kit,,True,False,0.8,0.7,1.0,0.81,7.374390125274658,
CFCC2BM6,In Sync: Exploring Synchronization to Increase Trust Between Humans and Non-humanoid Robots,"Bartkowski, Wieslaw; Nowak, Andrzej; Czajkowski, Filip Ignacy; Schmidt, Albrecht; Müller, Florian",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,https://dl.acm.org/doi/10.1145/3544548.3581193,"When we go for a walk with friends, we can observe an interesting effect: From step lengths to arm movements - our movements unconsciously align; they synchronize. Prior research found that this synchronization is a crucial aspect of human relations that strengthens social cohesion and trust. Generalizing from these findings in synchronization theory, we propose a dynamical approach that can be applied in the design of non-humanoid robots to increase trust. We contribute the results of a controlled experiment with 51 participants exploring our concept in a between-subjects design. For this, we built a prototype of a simple non-humanoid robot that can bend to follow human movements and vary the movement synchronization patterns. We found that synchronized movements lead to significantly higher ratings in an established questionnaire on trust between people and automation but did not influence the willingness to spend money in a trust game.",0.4666666666666666,True,"experiment, design, approach",False,0.95,"The study focuses on human-robot interaction and trust, with no coding or programming tasks performed by participants.",,,,,,,,,,,,,,,,,1.5697031021118164,
